episode,t,phase,p,exact_success_N16,mc_success_N16,abs_error_N16
8,6,pre_shift,0.14375,0.1370338512507263,0.1418,0.0047661487492736965
8,7,pre_shift,0.175,0.3974379076790576,0.4054,0.00796209232094236
8,8,pre_shift,0.14375,0.29496253576484366,0.2976,0.002637464235156317
8,9,post_shift,0.25,0.2405533302773397,0.2432,0.002646669722660311
8,10,post_shift,0.1875,0.09691058228939708,0.0928,0.004110582289397091
8,11,post_shift,0.16875,0.1633935792528283,0.159,0.004393579252828295
8,12,post_shift,0.2875,0.20617057884920814,0.2042,0.001970578849208149
8,13,post_shift,0.2875,0.05408950341418073,0.0578,0.0037104965858192687
8,14,post_shift,0.25625,0.027244428525416805,0.0284,0.0011555714745831967
8,15,post_shift,0.26875,0.025127499353025537,0.0206,0.004527499353025537
8,16,post_shift,0.325,0.03959438716498206,0.0374,0.002194387164982055
8,17,post_shift,0.34375,0.016795879118510236,0.0188,0.0020041208814897647
9,0,pre_shift,0.0375,0.054642310054949614,0.0528,0.001842310054949614
9,1,pre_shift,0.04375,0.299424284534623,0.306,0.006575715465376997
9,2,pre_shift,0.08125,0.4073243329036277,0.4138,0.006475667096372317
9,3,pre_shift,0.0875,0.5668495997579717,0.5582,0.008649599757971638
9,4,pre_shift,0.0875,0.3082758514204914,0.3108,0.0025241485795086116
9,5,pre_shift,0.0875,0.14459969995813768,0.1426,0.001999699958137674
9,6,pre_shift,0.1125,0.3835806509292931,0.3906,0.007019349070706893
9,7,pre_shift,0.0875,0.2791986109366278,0.2756,0.0035986109366277774
9,8,pre_shift,0.08125,0.16856839723089476,0.1752,0.006631602769105238
9,9,post_shift,0.13125,0.6184980348712362,0.6148,0.003698034871236211
9,10,post_shift,0.175,0.8887045594073073,0.8968,0.008095440592692738
9,11,post_shift,0.14375,0.8555560462464651,0.8606,0.005043953753534947
9,12,post_shift,0.13125,0.423349645906807,0.4184,0.004949645906807021
9,13,post_shift,0.16875,0.6983783441781849,0.6962,0.0021783441781848545
9,14,post_shift,0.15,0.8698070165516099,0.8674,0.0024070165516099085
9,15,post_shift,0.1,0.6461457090423703,0.654,0.007854290957629684
9,16,post_shift,0.15,0.8270126089441115,0.821,0.006012608944111597
9,17,post_shift,0.13125,0.7131041878514828,0.7166,0.003495812148517241
10,0,pre_shift,0.0625,0.3068352480053676,0.3024,0.004435248005367598
10,1,pre_shift,0.075,0.06571547892828108,0.0624,0.0033154789282810876
10,2,pre_shift,0.04375,0.08088779687066502,0.0726,0.008287796870665026
10,3,pre_shift,0.0625,0.10161548716444857,0.102,0.00038451283555142324
10,4,pre_shift,0.075,0.05517809578627697,0.0618,0.00662190421372303
10,5,pre_shift,0.09375,0.09404877190006702,0.1008,0.006751228099932977
10,6,pre_shift,0.125,0.06390302399184841,0.0602,0.0037030239918484156
10,7,pre_shift,0.14375,0.11408288447700535,0.1158,0.0017171155229946528
10,8,pre_shift,0.14375,0.2606547003494951,0.2606,5.470034949511815e-05
10,9,post_shift,0.25625,0.08052463129316553,0.086,0.00547536870683446
10,10,post_shift,0.15625,0.009693802592329482,0.0098,0.00010619740767051772
10,11,post_shift,0.2125,0.1474985734408909,0.1448,0.002698573440890889
10,12,post_shift,0.20625,0.09363681341844746,0.0912,0.0024368134184474532
10,13,post_shift,0.1875,0.03644117381692518,0.0334,0.0030411738169251815
10,14,post_shift,0.2125,0.08975332409280286,0.092,0.0022466759071971404
10,15,post_shift,0.19375,0.24011009045949092,0.2414,0.0012899095405090877
10,16,post_shift,0.16875,0.14732028925508966,0.1552,0.00787971074491034
10,17,post_shift,0.19375,0.14328931977585585,0.1366,0.006689319775855851
11,0,pre_shift,0.0625,0.16298971840370421,0.161,0.0019897184037042104
11,1,pre_shift,0.05625,0.23361706983354097,0.232,0.0016170698335409572
11,2,pre_shift,0.0625,0.121868653664922,0.1232,0.0013313463350780042
11,3,pre_shift,0.0625,0.1256711365143272,0.1308,0.005128863485672791
11,4,pre_shift,0.075,0.2966668979607212,0.2948,0.0018668979607212033
11,5,pre_shift,0.09375,0.1778088573324074,0.1764,0.0014088573324073927
11,6,pre_shift,0.11875,0.1890971221416149,0.179,0.0100971221416149
11,7,pre_shift,0.125,0.20576729752910247,0.2054,0.0003672975291024727
11,8,pre_shift,0.13125,0.33454962564227997,0.3428,0.008250374357720025
11,9,post_shift,0.175,0.5260335872486757,0.5276,0.0015664127513242976
11,10,post_shift,0.1625,0.5120046290885374,0.5156,0.0035953709114625587
11,11,post_shift,0.2125,0.6365687332344127,0.6358,0.0007687332344126219
11,12,post_shift,0.19375,0.3579117277325233,0.361,0.0030882722674767105
11,13,post_shift,0.175,0.44340769070116537,0.4404,0.0030076907011653553
11,14,post_shift,0.2125,0.533087899222902,0.5224,0.010687899222902031
11,15,post_shift,0.19375,0.37700683587202083,0.3708,0.0062068358720208106
11,16,post_shift,0.21875,0.3440593716149762,0.342,0.0020593716149761576
11,17,post_shift,0.2,0.18622932530550906,0.1862,2.9325305509059207e-05
12,0,pre_shift,0.05625,0.06995990482772782,0.06,0.009959904827727822
12,1,pre_shift,0.05,0.05798937407040748,0.058,1.0625929592521233e-05
12,2,pre_shift,0.06875,0.07984010017293194,0.0834,0.003559899827068058
12,3,pre_shift,0.08125,0.0724120993472709,0.0688,0.0036120993472709
12,4,pre_shift,0.05625,0.0480722308082137,0.0484,0.0003277691917863007
12,5,pre_shift,0.075,0.04613951364863768,0.0416,0.00453951364863768
12,6,pre_shift,0.1,0.0634213004203531,0.0636,0.0001786995796469043
12,7,pre_shift,0.15625,0.011193537414707947,0.01,0.0011935374147079465
12,8,pre_shift,0.21875,0.012206310295776632,0.014,0.0017936897042233682
12,9,post_shift,0.29375,0.009713075455639418,0.0092,0.0005130754556394185
12,10,post_shift,0.25,0.0037450777482924344,0.0026,0.0011450777482924345
12,11,post_shift,0.21875,0.0008629690177625624,0.0006,0.0002629690177625624
12,12,post_shift,0.23125,0.0028318387971404705,0.003,0.00016816120285952953
12,13,post_shift,0.26875,0.003520516023274845,0.0028,0.0007205160232748452
12,14,post_shift,0.225,0.008436655420054725,0.0086,0.00016334457994527513
12,15,post_shift,0.28125,0.010196443246557545,0.0098,0.000396443246557545
12,16,post_shift,0.275,0.011567109763354665,0.0116,3.2890236645334234e-05
12,17,post_shift,0.2125,0.02163492680359704,0.021,0.0006349268035970371
13,0,pre_shift,0.075,0.15496663405354832,0.153,0.0019666340535483273
13,1,pre_shift,0.08125,0.060060744464380256,0.0594,0.0006607444643802543
13,2,pre_shift,0.14375,0.0701728562192811,0.0704,0.00022714378071890529
13,3,pre_shift,0.14375,0.19236189820549981,0.1934,0.0010381017945001736
13,4,pre_shift,0.09375,0.06186935716866708,0.063,0.0011306428313329203
13,5,pre_shift,0.1,0.014813268806919072,0.0136,0.0012132688069190732
13,6,pre_shift,0.18125,0.009412125052043639,0.0094,1.2125052043638479e-05
13,7,pre_shift,0.15625,0.004947919954290835,0.0044,0.0005479199542908347
13,8,pre_shift,0.2375,0.003370991772424048,0.0036,0.00022900822757595174
13,9,post_shift,0.4375,0.017412771977032556,0.0162,0.001212771977032557
13,10,post_shift,0.3,0.01215715253747292,0.0134,0.001242847462527081
13,11,post_shift,0.4,0.034023145199367055,0.0332,0.0008231451993670549
13,12,post_shift,0.25625,0.006081277795986599,0.007,0.0009187222040134011
13,13,post_shift,0.30625,0.00809624909898745,0.0082,0.0001037509010125507
13,14,post_shift,0.25625,0.05449924568718541,0.0568,0.0023007543128145957
13,15,post_shift,0.24375,0.08077680280838621,0.0832,0.0024231971916137823
13,16,post_shift,0.30625,0.034118394708246624,0.0292,0.004918394708246624
13,17,post_shift,0.2875,0.012592786335557098,0.0124,0.00019278633555709808
14,0,pre_shift,0.075,0.12508772017813674,0.1212,0.0038877201781367388
14,1,pre_shift,0.09375,0.03150354644393202,0.0368,0.005296453556067976
14,2,pre_shift,0.11875,0.14998882188739787,0.147,0.00298882188739788
14,3,pre_shift,0.05625,0.018697061645995012,0.019,0.00030293835400498764
14,4,pre_shift,0.15625,0.19062574670532906,0.186,0.004625746705329059
14,5,pre_shift,0.1,0.032815968014509485,0.036,0.0031840319854905125
14,6,pre_shift,0.19375,0.051609645154523584,0.0522,0.0005903548454764193
14,7,pre_shift,0.1625,0.01342449708136168,0.013,0.00042449708136168066
14,8,pre_shift,0.3375,0.0015489050150167562,0.0016,5.109498498324385e-05
14,9,post_shift,0.475,0.00032163272241301214,0.0,0.00032163272241301214
14,10,post_shift,0.575,0.0018255209704162603,0.0028,0.0009744790295837396
14,11,post_shift,0.41875,0.0007393463781940437,0.0012,0.0004606536218059562
14,12,post_shift,0.45625,0.010856112237035353,0.0106,0.00025611223703535246
14,13,post_shift,0.35,0.00288125523159459,0.0038,0.00091874476840541
14,14,post_shift,0.40625,0.010730552776208753,0.0114,0.0006694472237912478
14,15,post_shift,0.3375,0.0324944250593566,0.0312,0.0012944250593566048
14,16,post_shift,0.3625,0.007054778027712148,0.0072,0.00014522197228785186
14,17,post_shift,0.29375,0.05547446860618403,0.0496,0.005874468606184034
15,0,pre_shift,0.075,0.03177069782752223,0.0328,0.001029302172477771
15,1,pre_shift,0.075,0.030564793384257723,0.0282,0.0023647933842577233
15,2,pre_shift,0.0625,0.01797545241626768,0.0188,0.0008245475837323213
15,3,pre_shift,0.1,0.029919688747206505,0.03,8.031125279349405e-05
15,4,pre_shift,0.0375,0.019684551809765194,0.0184,0.0012845518097651942
15,5,pre_shift,0.075,0.1053328457952672,0.1068,0.0014671542047328123
15,6,pre_shift,0.15,0.13182814556640166,0.132,0.00017185443359835073
15,7,pre_shift,0.15,0.027222572350706367,0.0252,0.002022572350706367
15,8,pre_shift,0.1875,0.009635729717039567,0.0096,3.5729717039568315e-05
15,9,post_shift,0.2375,0.009056306354363056,0.0074,0.001656306354363056
15,10,post_shift,0.25625,0.011554917945085043,0.0114,0.00015491794508504242
15,11,post_shift,0.26875,0.004240490947144914,0.005,0.000759509052855086
15,12,post_shift,0.25,0.003010494286174261,0.0026,0.00041049428617426133
15,13,post_shift,0.19375,0.016683826829391978,0.016,0.0006838268293919772
15,14,post_shift,0.24375,0.018282855972256554,0.0194,0.001117144027743447
15,15,post_shift,0.2375,0.0180725171184674,0.017,0.0010725171184673976
15,16,post_shift,0.26875,0.05310953498995862,0.0506,0.002509534989958623
15,17,post_shift,0.21875,0.029392114881987196,0.0274,0.0019921148819871948
16,0,pre_shift,0.075,0.07768366708985425,0.0752,0.002483667089854244
16,1,pre_shift,0.05625,0.05926394673272058,0.0578,0.0014639467327205793
16,2,pre_shift,0.10625,0.1268039424129814,0.1214,0.005403942412981408
16,3,pre_shift,0.08125,0.19880232387797878,0.2,0.001197676122021235
16,4,pre_shift,0.05625,0.0285211205262261,0.028,0.0005211205262261008
16,5,pre_shift,0.06875,0.026987448307148425,0.0248,0.0021874483071484263
16,6,pre_shift,0.0875,0.08399435472986079,0.0858,0.0018056452701392112
16,7,pre_shift,0.1375,0.0806910218743242,0.0772,0.0034910218743241933
16,8,pre_shift,0.15,0.09709044960930427,0.094,0.003090449609304269
16,9,post_shift,0.25,0.003643737405594528,0.0048,0.0011562625944054714
16,10,post_shift,0.28125,0.004313079248619133,0.0044,8.692075138086713e-05
16,11,post_shift,0.275,0.018641285444660392,0.0206,0.001958714555339608
16,12,post_shift,0.2375,0.014165738921114578,0.0126,0.0015657389211145775
16,13,post_shift,0.23125,0.029927333950761945,0.0306,0.0006726660492380535
16,14,post_shift,0.21875,0.02727754367872487,0.0256,0.001677543678724868
16,15,post_shift,0.26875,0.04346388717938876,0.0468,0.003336112820611241
16,16,post_shift,0.25,0.01921141632591766,0.0222,0.0029885836740823415
16,17,post_shift,0.175,0.020304302380969422,0.024,0.003695697619030578
17,0,pre_shift,0.11875,0.041795220156499197,0.0476,0.005804779843500807
17,1,pre_shift,0.1375,0.05218544219463281,0.0532,0.0010145578053671889
17,2,pre_shift,0.075,0.05483276690198342,0.0492,0.005632766901983416
17,3,pre_shift,0.09375,0.0731876272565746,0.073,0.00018762725657460455
17,4,pre_shift,0.125,0.012290961780013494,0.011,0.001290961780013495
17,5,pre_shift,0.15625,0.020127706414630703,0.0176,0.0025277064146307024
17,6,pre_shift,0.16875,0.03233308500194948,0.0304,0.0019330850019494798
17,7,pre_shift,0.26875,0.0009616584297818495,0.0008,0.0001616584297818495
17,8,pre_shift,0.38125,0.00047538443460482205,0.0002,0.000275384434604822
17,9,post_shift,0.475,7.420663916547822e-06,0.0,7.420663916547822e-06
17,10,post_shift,0.45625,6.809793872246983e-06,0.0,6.809793872246983e-06
17,11,post_shift,0.525,3.4443385553034806e-05,0.0,3.4443385553034806e-05
17,12,post_shift,0.5875,0.00022873149512469008,0.0004,0.00017126850487530994
17,13,post_shift,0.51875,0.0008179985988474946,0.0006,0.00021799859884749466
17,14,post_shift,0.56875,0.0017341067165719756,0.0018,6.589328342802435e-05
17,15,post_shift,0.5375,0.0050094615180413206,0.005,9.46151804132045e-06
17,16,post_shift,0.425,0.011048363275216983,0.0128,0.0017516367247830174
17,17,post_shift,0.4125,0.017940988577801017,0.0152,0.002740988577801017
18,0,pre_shift,0.06875,0.11447931602274859,0.1168,0.0023206839772514087
18,1,pre_shift,0.075,0.1877208356623017,0.1892,0.0014791643376983188
18,2,pre_shift,0.04375,0.16265407204533494,0.1576,0.005054072045334951
18,3,pre_shift,0.05,0.045935901338956794,0.046,6.409866104320483e-05
18,4,pre_shift,0.1,0.23257041380901966,0.234,0.0014295861909803531
18,5,pre_shift,0.08125,0.12085354175821181,0.1172,0.003653541758211809
18,6,pre_shift,0.13125,0.1842794428467613,0.182,0.0022794428467612926
18,7,pre_shift,0.1375,0.10195534804773305,0.1018,0.00015534804773305322
18,8,pre_shift,0.08125,0.06494874610102463,0.0692,0.004251253898975363
18,9,post_shift,0.15625,0.2528328505979609,0.2664,0.013567149402039125
18,10,post_shift,0.1625,0.155290761479142,0.1544,0.0008907614791419938
18,11,post_shift,0.18125,0.36457515364479615,0.3754,0.010824846355203865
18,12,post_shift,0.1375,0.6892519806531509,0.6904,0.0011480193468491606
18,13,post_shift,0.13125,0.7167643447868306,0.713,0.0037643447868306312
18,14,post_shift,0.10625,0.4594285300243537,0.4596,0.00017146997564632116
18,15,post_shift,0.175,0.6707470941400214,0.6778,0.007052905859978531
18,16,post_shift,0.21875,0.8924114765458856,0.8894,0.0030114765458856274
18,17,post_shift,0.19375,0.32225989374526615,0.3204,0.001859893745266128
19,0,pre_shift,0.04375,0.08107539994725162,0.085,0.003924600052748389
19,1,pre_shift,0.05625,0.21120354667661578,0.2142,0.0029964533233842183
19,2,pre_shift,0.04375,0.11206378220057053,0.1102,0.0018637822005705268
19,3,pre_shift,0.05625,0.27072916486264126,0.2614,0.009329164862641237
19,4,pre_shift,0.1,0.1294939678819016,0.1348,0.005306032118098408
19,5,pre_shift,0.08125,0.2347722737417945,0.2412,0.006427726258205507
19,6,pre_shift,0.10625,0.20966872523015345,0.2046,0.005068725230153448
19,7,pre_shift,0.0875,0.06500570416925248,0.0644,0.0006057041692524856
19,8,pre_shift,0.325,0.025226287652692157,0.0238,0.0014262876526921556
19,9,post_shift,0.4625,0.0020489459808913438,0.0024,0.000351054019108656
19,10,post_shift,0.41875,0.0005575501849048579,0.0006,4.244981509514206e-05
19,11,post_shift,0.4375,0.001152493257168523,0.0014,0.0002475067428314771
19,12,post_shift,0.275,0.0014131126298617977,0.0016,0.00018688737013820237
19,13,post_shift,0.26875,0.005961285258554416,0.006,3.8714741445584205e-05
19,14,post_shift,0.3125,0.012780240016147578,0.012,0.0007802400161475778
19,15,post_shift,0.21875,0.00890370525784558,0.011,0.00209629474215442
19,16,post_shift,0.225,0.012010950937096582,0.0154,0.0033890490629034185
19,17,post_shift,0.28125,0.07647030941707152,0.0746,0.0018703094170715168
20,0,pre_shift,0.0625,0.05565270654892059,0.05,0.00565270654892059
20,1,pre_shift,0.0875,0.09387087726362092,0.0914,0.002470877263620927
20,2,pre_shift,0.11875,0.1380226405395612,0.1384,0.000377359460438792
20,3,pre_shift,0.09375,0.09131589580924351,0.0888,0.0025158958092435096
20,4,pre_shift,0.075,0.025032934046691102,0.0216,0.003432934046691101
20,5,pre_shift,0.13125,0.2528408736528658,0.254,0.0011591263471342206
20,6,pre_shift,0.14375,0.0429200191491423,0.0454,0.0024799808508577034
20,7,pre_shift,0.2,0.044549120081179144,0.0522,0.007650879918820859
